,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
1046,Bellfield Way, Bellfield Way, Studio City, CA,91604, Call, Air Conditioning; Dryer; Flooring: Hardwood; Furnished; Laundry: In Unit; Laundry: Shared; Off Street Parking; Private Parking; Security gated; Small Dogs Allowed; Swimming Pool; Washer; granite countertops; grass yard; stainless steel appliances; utilities included; weekly maid service,Low, 213-663-6427, https://hotpads.com/3607-bellfield-way-studio-city-ca-91604-1m3wd6u/pad,,,,,29034.0,5637.66990291,1065561227.0,36700.4624578,15373.0
1047,2012 Hillsboro Avenue, 2012 Hillsboro Avenue, Los Angeles, CA,90034, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Heating system: Central; MLS Listing ID: 17275598; Microwave Oven; Patio Balcony; Refrigerator; Washer; Year Built: 1948,Low, 310-858-1902, https://hotpads.com/2012-hillsboro-ave-los-angeles-ca-90034-1m2nq8d/pad,75, $6250, 855-304-9988, https://www.apartments.com/2012-hillsboro-ave-los-angeles-ca/vx10mmd/,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
1048,6193 Rockcliff Drive, 6193 Rockcliff Drive, Los Angeles City, CA,90068, Call, Architecture Style: Contemporary; Barbecue; Dryer; Flooring: Concrete; Flooring: Hardwood; Freezer; Laundry: In Unit; MLS Listing ID: 18321966; Patio Balcony; View Type: City View; View Type: Mountain View; Washer; Year Built: 1961,Low, 323-646-0350, https://hotpads.com/6193-rockcliff-dr-los-angeles-ca-90068-u1xgys/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
1049,7500 Owensmouth Avenue, 7500 Owensmouth Avenue, Canoga Park, CA,91303, Call, Cats Allowed; Dogs Allowed; Small Dogs Allowed,High, 818-882-5888, https://hotpads.com/7500-owensmouth-ave-canoga-park-ca-91303-1m3gqbf/pad,,,,,26855.0,12432.8703704,325414750.0,12117.4734686,9502.0
1050,7444 Haskell Ave, 7444 Haskell Avenue, Van Nuys, CA,91406,1750, Air Conditioning; Building Application Fee: 40; Garage; Garbage included in rent; Off Street Parking; One Year Lease; Oven; Refrigerator; Swimming Pool; Water included in rent,Medium, 1-424-336-9524, https://hotpads.com/7444-haskell-ave-van-nuys-ca-91406-ss626q/pad,,,,,51558.0,6341.69741697,769046964.0,14916.1519842,18034.0
1051,970 Menlo Avenue, 970 Menlo Avenue, Los Angeles, CA,90006, Call, ,Medium, 213-388-7909, https://hotpads.com/970-menlo-ave-los-angeles-ca-90006-sm3f5f/pad,65, $1475, 844-318-3930, https://www.apartments.com/970-menlo-ave-los-angeles-ca/4hf7qtj/,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
1052,8221 Monteel Road, 8221 Monteel Road, Los Angeles, CA,90069, Call, Carport; Covered Parking Spaces: 6; Dryer; Fireplace; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17298078; Refrigerator; View Type: City View; Washer; Year Built: 1947,Low, 310-927-9307, https://hotpads.com/8221-monteel-rd-west-hollywood-ca-90069-skp8mz/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
1053,1251 W 35th Street, 1251 W 35th Street, Los Angeles, CA,90007,6500, coffee table; couches; granite countertops; kitchen table,Low, 949-916-2300, https://hotpads.com/1251-w-35th-street-los-angeles-ca-90007-1puzhq2/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
1054,Moderno Apartments East, 5338 Cartwright Avenue, North Hollywood, CA,91601,2800, Barbecue; Bicycle Storage; Cable TV Ready; Cats Allowed; Dance Studio; Disabled Access; Dishwasher; Dryer; Elevator; Fitness Center; Flooring: Carpet; Flooring: Tile; Flooring: Vinyl; Game Room; Garage; High-speed Internet Ready; Laundry: In Unit; Microwave Oven; Off Street Parking; One Year Lease; Oven; Patio Balcony; Range; Recording Studio; Refrigerator; Rooftop Deck; Satellite TV Ready; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Small Dogs Allowed; Underground Garage; View Type: City; View Type: Mountain; Washer,Medium, 1-818-423-5851, https://hotpads.com/moderno-apartments-east-north-hollywood-ca-91601-1n8tens/pad,,,,,37180.0,14030.1886792,579711563.0,15592.0269769,17392.0
1055,2258 Beverly Glen Place, 2258 Beverly Glen Place, Los Angeles, CA,90077, Call, Air Conditioning; Flooring: Hardwood; Garbage included in rent; Laundry: Shared; No Utilities included in rent; Sewage included in rent; Small Dogs Allowed,High, hotpads, https://hotpads.com/2258-beverly-glen-pl-los-angeles-ca-90077-1m2t7z9/pad,,,,,9377.0,1279.2633015,623152506.0,66455.423483,3888.0
1056,10540 W Olympic, 10540 W Olympic, Los Angeles, CA,90064, Call, Attached Garage; Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Freezer; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18305134; Microwave Oven; Washer; Year Built: 1953,Low, 310-909-6434, https://hotpads.com/10540-w-olympic-blvd-los-angeles-ca-90064-1n1zxjt/pad,,,,,25403.0,6350.75,1105519048.0,43519.2319017,11540.0
1057,10229-b De Soto Avenue, 10229-b De Soto Avenue, Chatsworth, CA,91311, Call, 1 bathroom; 1 bedroom; 1 story; 481 sqf; Air Conditioning; Dryer; Flooring: Carpet; Flooring: Tile; Laundry: In Unit; Laundry: Shared; Oven; Parking -; Patio Balcony; Range; Refrigerator; Security: Gated Entry; Swimming Pool; Washer; Water included in rent; breakfast nook,Low, 818-998-0597, https://hotpads.com/10229-de-soto-ave-chatsworth-ca-91311-1m3hmyw/pad,,,,,36557.0,1139.55735661,900828883.0,24641.7617146,14021.0
1058,632 N Cummings Street, 632 N Cummings Street, Los Angeles, CA,90033, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,Medium, 323-828-4402, https://hotpads.com/632-n-cummings-st-los-angeles-ca-90033-1n1wsjm/pad,,,,,48852.0,14939.4495413,357180523.0,7311.48208876,13690.0
1059,3533 Keystone Avenue, 3533 Keystone Avenue, Los Angeles, CA,90034,2795, ,High, hotpads, https://hotpads.com/3533-keystone-ave-los-angeles-ca-90034-1m2nshy/pad,,,,,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
1060,2013 Toberman Street, 2013 Toberman Street, Los Angeles, CA,90007, Call, Air Conditioning; Electricity included in rent; Flooring: Hardwood; Garage; Gas included in rent; Laundry: none; Utilities included in rent; Water included in rent,High, 213-215-1350, https://hotpads.com/2013-toberman-st-los-angeles-ca-90007-1m2j03h/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
1061,900 Moraga Drive, 900 Moraga Drive, Bel Air, CA,90049, Call, Architecture Style: Cape Cod; Attached Garage; Covered Parking Spaces: 3; Fireplace; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18319104; Swimming Pool; Spa,Low, 424-230-3738, https://hotpads.com/900-moraga-dr-los-angeles-ca-90049-1m2r9nz/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
1062,Seven West, 1331 W 7th Street, Los Angeles, CA,90017,2150, 24 Hour Fitness Center; 24 hour video surveillance; Ample Bike Parking and designated Bike Repair Area; Business Center; Cable TV Ready; Covered/Assigned Resident Parking and Guest Parking On-site; Deck; Dryer; Fitness Center; Flooring: Tile; Garage; Laundry: In Unit; Laundry: Shared; On-Site Maintenance; Package Service; Patio Balcony; Pet Friendly!; Revitalizing coffee lounge; Security: Controlled Access; Stories: 7; Washer; Year Built: 2017; Quartz Counter Tops*; Refined Contemporary Plank Flooring; Secured key-card entry door access; Spacious Walk-In Closets; Two Distinctive Interior Finishes; Voluminous 9  12 high Ceilings,Medium, 1-323-641-4621, https://hotpads.com/seven-west-los-angeles-ca-90017-1s9q64y/pad,66, $2395 - 4995, 844-748-4539, https://www.apartments.com/seven-west-los-angeles-ca/nkck5vn/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
1063,1520 W 215th Street, 1520 W 215th Street, Torrance, CA,90501, Call, Cats Allowed; Dryer; Electricity included in rent; Flooring: Hardwood; Garbage included in rent; Gas included in rent; Laundry: In Unit; Small Dogs Allowed; Utilities included in rent; Washer; Water included in rent,Medium, 310-713-6856, https://hotpads.com/1520-w-215th-st-torrance-ca-90501-1n23aj8/pad,74, $2825, 844-404-5916, https://www.apartments.com/1520-w-215th-st-torrance-ca/hsend93/,43180.0,7683.27402135,808795012.0,18730.7784159,15364.0
1064,724 N Gramercy Place, 724 N Gramercy Place, Los Angeles, CA,90038,1350, Gas included in rent; Laundry: Shared; Water included in rent,High, 310-420-9470, https://hotpads.com/studio-10-bath-450-sqft-1350-los-angeles-ca-90038-tturd7/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
1065,15234 Friends Street, 15234 Friends Street, Pacific Palisades, CA,90272, Call, Architecture Style: Cape Cod; Ceiling Fan; Covered Parking Spaces: 2; Detached Garage; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17276610; Microwave Oven; Patio Balcony; Refrigerator; Washer; Year Built: 1948,Low, 310-230-3707, https://hotpads.com/15234-friends-st-pacific-palisades-ca-90272-1m2x6k6/pad,,,,,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
1066,12025 Marine Street, 12025 Marine Street, Los Angeles, CA,90066, Call, Attached Garage; Cable TV Ready; Ceiling Fan; Covered Parking Spaces: 4; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; MLS Listing ID: 18307512; Patio Balcony; Refrigerator; Washer; Year Built: 1948,Medium, 310-230-3755, https://hotpads.com/12025-marine-st-los-angeles-ca-90066-1m2sbs6/pad,-, $9500, 805-292-1093, https://www.apartments.com/12025-marine-st-los-angeles-ca/vlrytpd/,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
1067,8025 Redlands Street, 8025 Redlands Street, Playa Del Rey, CA,90293, Call, Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Patio Balcony; Small Dogs Allowed; Washer,High, 310-569-8605, https://hotpads.com/8025-redlands-st-playa-del-rey-ca-90293-skrm0x/pad,69, $1550, 844-707-6526, https://www.apartments.com/8025-redlands-st-los-angeles-ca/0prx943/,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
1068,13437 Victory Boulevard, 13437 Victory Boulevard, Van Nuys, CA,91401,1295, ,Medium, hotpads, https://hotpads.com/13437-victory-blvd-van-nuys-ca-91401-snuts6/pad,,,,,39285.0,11386.9565217,626351718.0,15943.7881634,15289.0
1069,2636 Thurman Avenue, 2636 Thurman Avenue, Los Angeles, CA,90016, Call, ,Medium, 855-721-7368, https://hotpads.com/2636-thurman-ave-los-angeles-ca-90016-skk9fw/pad,,,,,47596.0,13111.84573,570516671.0,11986.6516304,17204.0
1070,1268 W 37th Place, 1268 W 37th Place, Los Angeles, CA,90007, Call, Laundry: Shared; parking on premises; private back yard; private front yard,Low, 213-748-8331, https://hotpads.com/1268-w-37th-pl-los-angeles-ca-90007-1n1tw8u/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
1071,3136 Verdugo Road, 3136 Verdugo Road, Los Angeles, CA,90065, Call, Air Conditioning; Cats Allowed; Flooring: Hardwood; Large Dogs Allowed; Laundry: Shared; Off Street Parking; Patio Balcony; Small Dogs Allowed; Water included in rent; large gated yard,High, 310-486-0303, https://hotpads.com/3136-verdugo-rd-los-angeles-ca-90065-1m2s1td/pad,,,,,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
1072,2390 Allesandro Street, 2390 Allesandro Street, Los Angeles, CA,90039, Call, Air Conditioning; Cats Allowed; Deck; Dogs Allowed; Dryer; Flooring: Wood; Large Dogs Allowed; Laundry: In Unit; Laundry: Shared; Microwave Oven; Parking -; Refrigerator; Small Dogs Allowed; Washer; beautiful wood accents throughout; fruit trees; long driveway; new floors; new stainless steel stove; new windows; recessed lighting; shared yard; views; walkable neighborhood,Medium, 213-947-3667, https://hotpads.com/2390-allesandro-st-los-angeles-ca-90039-1m2p85s/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
1073,7276 Chetwood Drive, 7276 Chetwood Drive, Tujunga, CA,91042, Call, Covered Parking Spaces: 1; Dryer; Fireplace; Flooring: Laminate; Garbage Disposal; Heating system: Forced Air; Laundry: In Unit; MLS Listing ID: 818000168; Refrigerator; School District: Los Angeles Unified; Swimming Pool; View Type: Yes; Washer; Year Built: 1960; Range/Oven,Low, 818-640-7444, https://hotpads.com/7276-chetwood-dr-tujunga-ca-91042-1m3e3xn/pad,,,,,27585.0,553.027265437,464555690.0,16840.880551,10534.0
1074,7145 Trask Avenue, 7145 Trask Avenue, Playa Del Rey, CA,90293, Call, Dryer; Flooring: Hardwood; Furnished; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,Low, 310-592-0139, https://hotpads.com/7145-trask-ave-playa-del-rey-ca-90293-u270fr/pad,,,,,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
1075,1825 N Easterly Terrace, 1825 N Easterly Terrace, Los Angeles, CA,90026, Call, Architecture Style: Contemporary; Ceiling Fan; Covered Parking Spaces: 4; Fireplace; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Central; MLS Listing ID: 18318980; View Type: City View; Washer; Year Built: 1979,Medium, 323-660-5885, https://hotpads.com/1825-n-easterly-ter-los-angeles-ca-90026-w3wzdh/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
1076,27 Hurricane Street, 27 Hurricane Street, Marina Del Rey, CA,90292,2850, Alarm System; Assigned Covered Parking; Assigned Outdoor Parking; Built-Ins; Cable TV Ready; Ceiling Fan; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Flooring: Wood; Garbage Disposal; INCLUDES STOVE!; INCLUDES STOVE/OVEN!; Laundry: In Unit; Laundry: Shared; Master Bath; Microwave Oven; Parking Lot; Parking included in rent; Patio Balcony; Pets Allowed; Refrigerator; Washer; Year Built: 1921; Balcony*; Cable-ready*; Ceramic Tile Flooring*; Corner Unit*; Dishwasher*; Disposal*; Fireplace*; Hard Wood Floors*; INCLUDES STOVE!*; Includes Refrigerator*; Laundry On Site*; Lower unit*; Parking*; Pets Allowed*; Upper Unit*,Medium, 310-999-1650, https://hotpads.com/marina-peninsula-at-the-beach-steps-to-the-sand-marina-del-rey-ca-90292-1m2zswb/pad,,,,,21576.0,10576.4705882,881361201.0,40849.1472469,14585.0
1077,5976 Airdrome Street, 5976 Airdrome Street, Los Angeles, CA,90035, Call, Swimming Pool,Low, 818-588-5385, https://hotpads.com/5976-airdrome-st-los-angeles-ca-90035-u1ungh/pad,,,,,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
1078,5217 Virginia Avenue, 5217 Virginia Avenue, Los Angeles, CA,90029, Call, ,High, 855-976-8559, https://hotpads.com/5217-virginia-ave-los-angeles-ca-90029-1m2my2p/pad,,,,,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
1079,623 N Edinburgh Avenue, 623 N Edinburgh Avenue, Los Angeles, CA,90048, Call, Architecture Style: Modern; Attached Garage; Cable TV Ready; Covered Parking Spaces: 4; Deck; Dryer; Exterior Type: Stucco; Fireplace; Flooring: Hardwood; Flooring: Tile; Freezer; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17290928; Patio Balcony; Refrigerator; Security: Gated Entry; Security: Intercom; Spa; Sprinkler System; Swimming Pool; View Type: City View; Washer; Year Built: 2015; Skylight; Wired,Low, 310-801-5919, https://hotpads.com/623-n-edinburgh-ave-los-angeles-ca-90048-u1y2x3/pad,,,,,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
1080,10331 Nassau Avenue, 10331 Nassau Avenue, Sunland, CA,91040, Call, Air Conditioning; Cats Allowed; Dogs Allowed; Dryer; Flooring: Hardwood; Garage; Garbage not included in rent; Gas not included in rent; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer; Water not included in rent,Low, 818-584-6008, https://hotpads.com/10331-nassau-ave-sunland-ca-91040-1m3dqre/pad,,,,,20372.0,2484.3902439,442977210.0,21744.4143923,7732.0
1081,15325 Victory Boulevard, 15325 Victory Boulevard, Van Nuys, CA,91406, Call, Condo Floor Number: 1; Covered Parking Spaces: 4; Fireplace; MLS Listing ID: SR18056510; School District: Los Angeles Unified; View Type: None; Year Built: 1946,Low, 818-332-4444, https://hotpads.com/15325-victory-blvd-van-nuys-ca-91406-1m3unhp/pad,,,,,51558.0,6341.69741697,769046964.0,14916.1519842,18034.0
1082,6824 Esplanade, 6824 Esplanade, Playa Del Rey, CA,90293,3095, ,Medium, hotpads, https://hotpads.com/6824-esplanade-playa-del-rey-ca-90293-skrn61/pad,,,,,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
1083,18350 Hatteras Street, 18350 Hatteras Street, Tarzana, CA,91356, Call, 24 hr security guard; Attached Garage; Barbecue; Business Center; Cats Allowed; Ceiling Fan; Electricity included in rent; Fenced Yard; Fitness Center; Flooring: Hardwood; Freezer; Garage; Garbage included in rent; Garden; Gas included in rent; Guest parking; Heating system: Heat: forced air; Laundry: Shared; Lawn; Microwave Oven; Near Transportation; Off Street Parking; Patio Balcony; Playground; Refrigerator; Secured entry; Security: Controlled Access; Security: Gated Entry; Small Dogs Allowed; Sprinkler System; Storage Space; Swimming Pool; Washer; Water included in rent; Yard; Year Built: 1972; Range/Oven,Medium, hotpads, https://hotpads.com/18350-hatteras-st-tarzana-ca-91356-skfvs6/pad,,,,,29458.0,4018.82673943,820382070.0,27849.2114196,12454.0
1084,610 Levering Avenue, 610 Levering Avenue, Los Angeles, CA,90024,2225, Stories: 5,Medium, 310-481-0008, https://hotpads.com/610-levering-avenue-los-angeles-ca-90024-w3x6wv/pad,,,,,47452.0,16140.1360544,1258492976.0,26521.3895305,19932.0
1085,372 S Columbia Avenue, 372 S Columbia Avenue, Los Angeles, CA,90017,1895, ,High, 323-309-2212, https://hotpads.com/2-bed-15-bath-1200-sqft-1895-los-angeles-ca-90017-1m2ju9p/pad,,,,,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
1086,961 Enchanted Way, 961 Enchanted Way, Pacific Palisades, CA,90272, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Garbage Disposal; Garden; Heating system: Central Furnace; Laundry: In Unit; Lawn; MLS Listing ID: SR17255415; Microwave Oven; Patio Balcony; Refrigerator; School District: Los Angeles Unified; Storage Space; View Type: Ocean; Washer; Year Built: 1965; Double Pane Windows; Porch; Range/Oven; Skylight,Low, 818-269-7914, https://hotpads.com/961-enchanted-way-pacific-palisades-ca-90272-1m2xd3y/pad,,,,,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
1087,1018 Stradella Road, 1018 Stradella Road, Los Angeles, CA,90077, Call, Architecture Style: Modern; Attached Garage; Fireplace; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18323588; Spa; Swimming Pool; View Type: City View; Year Built: 2013,Low, 310-266-2777, https://hotpads.com/1018-stradella-rd-los-angeles-ca-90077-txyc1d/pad,,,,,9377.0,1279.2633015,623152506.0,66455.423483,3888.0
1088,18707 Kirkcolm Lane, 18707 Kirkcolm Lane, Northridge, CA,91326, Call, Air Conditioning; Assigned Covered Parking; Cable TV Ready; Dryer; Fireplace; Garbage Disposal; High Ceilings; Laundry: In Unit; Laundry: Shared; Microwave Oven; Off-site parking available for a fee; Pets Allowed; Refrigerator; Stove; Views; Washer; Washer/Dryer Hookups; Year Built: 1969,Low, 424-253-5550, https://hotpads.com/18707-kirkcolm-ln-porter-ranch-ca-91326-1m3kgvz/pad,,,,,33708.0,4130.88235294,919431592.0,27276.3614572,12206.0
